24.180.130.138 - - [14/Dec/2019:23:08:44 +0900] "GET /item/toys/3835 HTTP/1.1" 200 107 "/item/jewelry/1452" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:10.0.1) Gecko/20100101 Firefox/10.0.1"
36.99.81.103 - - [14/Dec/2019:23:08:44 +0900] "GET /category/office HTTP/1.1" 200 118 "/item/garden/1066" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
208.60.201.64 - - [14/Dec/2019:23:08:44 +0900] "GET /category/toys?from=10 HTTP/1.1" 200 54 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; YTB730; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C)"
180.84.24.105 - - [14/Dec/2019:23:08:44 +0900] "GET /category/electronics?from=0 HTTP/1.1" 200 53 "/category/electronics" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; YTB720; GTB7.2; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
68.204.110.154 - - [14/Dec/2019:23:08:44 +0900] "GET /item/computers/1085 HTTP/1.1" 200 94 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
172.219.136.59 - - [14/Dec/2019:23:08:44 +0900] "GET /item/games/2383 HTTP/1.1" 200 103 "/category/games" "Mozilla/5.0 (iPhone; CPU iPhone OS 5_0_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9A405 Safari/7534.48.3"
120.78.134.154 - - [14/Dec/2019:23:08:44 +0900] "GET /category/games HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)"
40.153.113.167 - - [14/Dec/2019:23:08:44 +0900] "GET /category/networking HTTP/1.1" 200 68 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
52.156.78.201 - - [14/Dec/2019:23:08:44 +0900] "GET /category/software HTTP/1.1" 200 132 "/category/computers" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; YTB720; GTB7.2; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
40.144.182.33 - - [14/Dec/2019:23:08:44 +0900] "GET /category/electronics HTTP/1.1" 200 76 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; YTB730; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C)"
100.18.116.27 - - [14/Dec/2019:23:08:44 +0900] "GET /category/sports HTTP/1.1" 200 91 "/item/health/235" "Mozilla/5.0 (iPad; CPU OS 5_0_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9A405 Safari/7534.48.3"
